Applicant_ID,Annual_Income,Applicant_Age,Work_Experience,Marital_Status,House_Ownership,Vehicle_Ownership(car),Occupation,Residence_City,Residence_State,Years_in_Current_Employment,Years_in_Current_Residence,Loan_Default_Risk
75722,9657655,76,0,single,rented,no,Psychologist,Jalandhar,Punjab,0,12,0
80185,9259353,37,18,single,rented,no,Petroleum_Engineer,Bally,West_Bengal,12,11,0
19865,1509721,66,8,single,rented,no,Drafter,Indore,Madhya_Pradesh,4,12,0
76700,5867312,43,1,single,owned,no,Chartered_Accountant,Kurnool[18],Andhra_Pradesh,1,13,1
92992,7223191,44,9,single,rented,no,Air_traffic_controller,Asansol,West_Bengal,9,13,0
76435,1161425,45,14,single,rented,no,Biomedical_Engineer,Bongaigaon,Assam,13,13,0
84005,7059529,63,8,single,rented,yes,Fashion_Designer,Katihar,Bihar,8,13,1
80918,555485,31,15,single,rented,yes,Magistrate,Sikar,Rajasthan,12,11,0
60768,5395461,71,10,single,rented,no,Technology_specialist,Chinsurah,West_Bengal,5,10,0
50075,4772948,46,17,single,rented,no,Air_traffic_controller,Muzaffarnagar,Uttar_Pradesh,11,14,1
27702,5098928,71,17,single,rented,no,Lawyer,Darbhanga,Bihar,4,11,0
42142,6259059,70,8,married,rented,yes,Civil_servant,Chandigarh_city,Chandigarh,8,10,0
45081,5888261,78,6,single,rented,no,Physician,Adoni,Andhra_Pradesh,3,10,0
16639,4149976,35,15,married,owned,no,Drafter,Ludhiana,Punjab,10,12,1
20425,3140216,22,9,single,rented,no,Financial_Analyst,Amroha,Uttar_Pradesh,6,10,0
88703,1006955,31,20,single,rented,yes,Design_Engineer,Aligarh,Uttar_Pradesh,3,13,0
150,799233,72,4,single,rented,yes,Hotel_Manager,Udupi,Karnataka,4,14,0
1762,36391,34,7,single,rented,no,Engineer,Delhi_city,Delhi,6,12,0
63121,3376799,24,6,single,rented,no,Computer_hardware_engineer,Moradabad,Uttar_Pradesh,6,13,0
69162,192829,66,11,single,rented,no,Flight_attendant,Sonipat,Haryana,11,14,0
64884,8288147,32,20,single,rented,no,Financial_Analyst,Gandhinagar,Gujarat,3,13,0
2496,2974289,22,3,single,rented,no,Civil_servant,Raebareli,Uttar_Pradesh,3,13,1
80297,1429614,73,6,single,rented,yes,Comedian,Madhyamgram,West_Bengal,6,14,0
19448,4035806,40,12,single,rented,no,Scientist,Nashik,Maharashtra,12,12,0
41332,8103399,69,20,single,rented,no,Computer_hardware_engineer,Bilaspur,Chhattisgarh,13,10,0
14889,5351331,78,1,married,rented,yes,Mechanical_engineer,Davanagere,Karnataka,1,14,0
88637,8435439,68,1,single,rented,no,Geologist,Kakinada,Andhra_Pradesh,1,14,1
94893,6593030,78,15,single,rented,no,Aviator,Chandrapur,Maharashtra,11,12,0
92732,4054318,74,3,single,rented,no,Web_designer,Sangli-Miraj_&_Kupwad,Maharashtra,3,11,0
